developer,game,setting,engine,genre,visual_style,animation,public_build,latest_version,graphtreon,download_link_windows,download_link_linux,download_link_mac,download_link_android
Indivi ,Lust Doll,Sci-fi fantasy,RPGM,RPG,2D anime,No,https://mega.nz/#!DA8XkLpS!1fL4ZWALQ6lLjdA0bxGwd4hCPJCo6Y-oeuqBASsPrIQ,,https://graphtreon.com/creator/indivi,,,,
Cesar,Urban Voyeur,Contemporary,Other,VN,3D DAZ renders,No,http://www.urbanvoyeur.co/,,https://graphtreon.com/creator/cesargames,,,,
HTH Studios,High Tail Hall,Fantasy,Unity,RPG,2D anime,No,Paid Builds,,https://graphtreon.com/creator/HTHStudios,,,,
Kravenar Games Team,The Legend of Versyl,Fantasy,RPGM,RPG,3D DAZ renders,No,Paid Builds,,https://graphtreon.com/creator/kravenar,,,,
Brozeks&Co ,The Magus Lab,Fantasy,Unity,RPG,2D western,Yes,https://www.newgrounds.com/portal/view/695394?id=695394,,https://graphtreon.com/creator/maguslab,,,,
Little Napoleon,Changeling Tale,Fantasy,Ren'Py,VN,2D anime,No,https://www.patreon.com/LittleNapoleon,,https://graphtreon.com/creator/LittleNapoleon,,,,
Dusky Hallows,Sanguine Rose,Fantasy,Flash,VN,2D western,No,https://www.newgrounds.com/portal/view/699845,,https://graphtreon.com/creator/SanguineRose,,,,
PEdev,Porn Empire,Contemporary,Godot,Management,2D western,No,https://www.patreon.com/pornempire,,https://graphtreon.com/creator/pornempire,,,,
坑神newface,Evil Goddess,Fantasy,RPGM,RPG,2D anime,No,Paid Builds,,https://graphtreon.com/creator/EvilGoddess,,,,
Love in Space,Shining Song Starnova,Contemporary,Ren'Py,VN,2D anime,No,B2P,,https://graphtreon.com/creator/loveinspace,,,,
Daniels K.,Stranded with Benefits,Contemporary,RPGM,Adventure,3D DAZ renders,No,Paid Builds,,https://graphtreon.com/creator/StrandedWithBenefits,,,,
Daniels K.,My Girlfriend's Amnesia,Contemporary,RPGM,Adventure,3D DAZ renders,No,Paid Builds,,https://graphtreon.com/creator/StrandedWithBenefits,,,,
Daniels K.,The Imaginarium,Contemporary,RPGM,Adventure,3D DAZ renders,No,Paid Builds,,,,,,
