developer,game,setting,engine,genre,visual_style,animation,public_build,latest_version,graphtreon,download_link_windows,download_link_linux,download_link_mac,download_link_android
Maverik,Strive for Power,Fantasy,Other,Slave management,2D anime,No,https://strive4power.itch.io/strive-for-power,,https://graphtreon.com/creator/maverik,,,,
wolfzq ,Cursed Armor,Fantasy,RPGM,RPG,2D anime,No,https://www.patreon.com/wolfzq,,https://graphtreon.com/creator/wolfzq,,,,
Luxee,Parental Love,Contemporary,Ren'Py,VN,3D DAZ renders,No,Paid Builds,,https://graphtreon.com/creator/Luxee,,,,
Beggar Of Net ,My New Life,Contemporary,RPGM,Adventure,3D DAZ renders,Yes,https://mega.nz/#!5RkSnYSJ!d4-R8kNo9QoCTTlMLqQNhsLZA_0BFQpWoLmDn6XftLI,,https://graphtreon.com/creator/Beggarofnet,,,,
Sorrow,Rad Science,Contemporary,Ren'Py,VN,3D DAZ renders,No,Paid Builds,,https://graphtreon.com/creator/ChangingGames,,,,
Pokkaloh Team,Mozzoloh,Fantasy,Flash,Adventure,2D anime,No,https://www.newgrounds.com/portal/view/702083,,https://graphtreon.com/creator/pokkaloh,,,,
Pokkaloh Team,Pokkaloh,Fantasy,Flash,Adventure,2D anime,No,https://www.newgrounds.com/portal/view/694990?id=694990,,https://graphtreon.com/creator/pokkaloh,,,,
Winged Cloud,Sakura Magical Girls,Contemporary fantasy,Ren'Py,VN,2D anime,No,B2P,,https://graphtreon.com/creator/wingedcloud,,,,
Winged Cloud,Sakura Agent,Contemporary fantasy,Ren'Py,VN,2D anime,No,B2P,,https://graphtreon.com/creator/wingedcloud,,,,
Winged Cloud,Sakura Maid Series,Contemporary fantasy,Ren'Py,VN,2D anime,No,B2P,,https://graphtreon.com/creator/wingedcloud,,,,
Winged Cloud,Sakura Halloween,Contemporary fantasy,Ren'Py,VN,2D anime,No,B2P,,https://graphtreon.com/creator/wingedcloud,,,,
Vren,Lab Rats,Contemporary,Ren'Py,VN,3D HS renders,No,https://www.patreon.com/vrengames,,https://graphtreon.com/creator/vrengames,,,,
SP3KTR3,Pussymon,Fantasy,Flash,Adventure,2D anime,No,https://www.newgrounds.com/search/summary?suitabilities=a&terms=pussymon,,https://graphtreon.com/creator/sp3ktr3,,,,
ThaumX,Accidental Woman,Contemporary,HTML,Text CYOA,Text,No,https://www.thaumx.com/blank-5,,https://graphtreon.com/creator/thaumx,,,,
Aika,Trap Quest,Fantasy,Other,Text CYOA,Text,No,http://trapquest.com/,,https://graphtreon.com/creator/trapquest,,,,
Aftermath Team,The Allure of Wanton Cove,Contemporary fantasy,HTML,Text CYOA,Text,No,https://www.tfgamessite.com/index.php?module=viewgame&id=533,,https://graphtreon.com/creator/aftermathteam,,,,
Aftermath Team,Inheritance,Contemporary,HTML,Text CYOA,Text,No,https://www.tfgamessite.com/index.php?module=viewgame&id=1151,,https://graphtreon.com/creator/aftermathteam,,,,
Enlit3D,Heroine Rumble,Contemporary,Other,Fighting,3D anime,Yes,http://www.mediafire.com/file/xkyj972zovqq30h/HeroineRumble+v0.521+public.7z,,https://graphtreon.com/creator/enlit3d,,,,
Latissa,Library Story,Fantasy,Ren'Py,VN,2D western,No,Paid Builds,,https://graphtreon.com/creator/latissa,,,,
Doxy,Sexena,Fantasy,Other,RPG,2D anime,No,Paid Builds,,https://graphtreon.com/creator/doxygames,,,,
Doxy,Uddertale,Fantasy,Other,Adventure,2D anime,No,Paid Builds,,https://graphtreon.com/creator/doxygames,,,,
Doxy,Jenni: Wrong Number,Contemporary,HTML,VN,2D anime,No,Paid Builds,,https://graphtreon.com/creator/doxygames,,,,
Doxy,Jenni's New Friend,Contemporary,HTML,VN,2D anime,No,Paid Builds,,https://graphtreon.com/creator/doxygames,,,,
Doxy,GroperWatch,Sci-fi fantasy,Other,VN,2D anime,Yes,Paid Builds,,https://graphtreon.com/creator/doxygames,,,,
Westane,The Company,Contemporary,HTML,Text CYOA,Text,No,Paid Builds,,https://graphtreon.com/creator/westane,,,,
Hogswild Prasetto,Bonfire,Fantasy,Unity,Adventure,3D stylized,Yes,https://www.patreon.com/bonfire,,https://graphtreon.com/creator/bonfire,,,,
Inceton Games,My Sister Mia ,Contemporary,RPGM,Adventure,3D DAZ renders,No,https://www.patreon.com/Sad_Crab,,,,,,
Inceton Games,Corrupting Jennifer,Contemporary,RPGM,Adventure,3D DAZ renders,No,https://graphtreon.com/creator/Sad_Crab,,https://graphtreon.com/creator/Inceton,,,,
Boko877,Girl Beats Hero,Fantasy,RPGM,RPG,3D anime renders,Yes,Paid Builds,,https://graphtreon.com/creator/boko877,,,,
Sissy Maker,Sissy Maker,Contemporary,Other,VN,2D anime,No,https://www.patreon.com/sissymaker,,https://graphtreon.com/creator/sissymaker,,,,
